Key,English,French
PROPCTRL_TXT_000406,Common Grass 6,Herbe commune 6
PROPCTRL_TXT_000407,Common Grass 7,Herbe commune 7
PROPCTRL_TXT_000408,Common Grass 8,Herbe commune 8
PROPCTRL_TXT_000409,Common Grass 9,Herbe commune 9
PROPCTRL_TXT_000410,Common Grass 10,Herbe commune 10
PROPCTRL_TXT_000411,Common Grass 11,Herbe commune 11
PROPCTRL_TXT_000412,Common Grass 12,Herbe commune 12
PROPCTRL_TXT_000413,Common Grass 13,Herbe commune 13
PROPCTRL_TXT_000414,Common Mushroom 2,Champignon commun 2
PROPCTRL_TXT_000415,Common Mushroom 3,Champignon commun 3
PROPCTRL_TXT_000416,Common Mushroom 4,Champignon commun 4
PROPCTRL_TXT_000417,Common Rock 2,Pierre Commune 2
PROPCTRL_TXT_000418,Common Rock 3,Pierre Commune 3
PROPCTRL_TXT_000419,Common Rock 4,Pierre Commune 4
PROPCTRL_TXT_000420,Common Rock 5,Pierre Commune 5
PROPCTRL_TXT_000421,Common Rock 6,Pierre Commune 6
PROPCTRL_TXT_000422,Common Rock 7,Pierre Commune 7
PROPCTRL_TXT_000423,Common Rock 8,Pierre Commune 8
PROPCTRL_TXT_000424,Common Rock 9,Pierre Commune 9
PROPCTRL_TXT_000425,Common Rock 10,Pierre Commune 10
PROPCTRL_TXT_000426,St Morning Rock Arch 2,Arche Minérale de Saint Morning 2
PROPCTRL_TXT_000427,St Morning Rock Arch 3,Arche Minérale de Saint Morning 3
PROPCTRL_TXT_000428,St Morning Flag 2,Drapeau de Saint Morning 2
PROPCTRL_TXT_000429,St Morning Flag 3,Drapeau de Saint Morning 3
PROPCTRL_TXT_000430,St Morning Flag 4,Drapeau de Saint Morning 4
PROPCTRL_TXT_000431,St Morning Flag 5,Drapeau de Saint Morning 5
PROPCTRL_TXT_000432,St Morning Rock 2,Pierre de Saint Morning 2
PROPCTRL_TXT_000433,St Morning Rock 3,Pierre de Saint Morning 3
PROPCTRL_TXT_000434,St Morning Rock 4,Pierre de Saint Morning 4
PROPCTRL_TXT_000435,St Morning Rock 5,Pierre de Saint Morning 5
PROPCTRL_TXT_000436,St Morning Rock 6,Pierre de Saint Morning 6
PROPCTRL_TXT_000437,St Morning Rock 7,Pierre de Saint Morning 7
PROPCTRL_TXT_000438,St Morning Rock 8,Pierre de Saint Morning 8
PROPCTRL_TXT_000439,St Morning Rock 9,Pierre de Saint Morning 9
PROPCTRL_TXT_000440,St Morning Rock 10,Pierre de Saint Morning 10
PROPCTRL_TXT_000441,St Morning Rock 11,Pierre de Saint Morning 11
PROPCTRL_TXT_000442,St Morning Rock 12,Pierre de Saint Morning 12
PROPCTRL_TXT_000443,St Morning Rock 13,Pierre de Saint Morning 13
PROPCTRL_TXT_000444,St Morning Rock 14,Pierre de Saint Morning 14
PROPCTRL_TXT_000445,St Morning Rock 15,Pierre de Saint Morning 15
PROPCTRL_TXT_000446,St Morning Light 2,Lampe de Saint Morning 2
PROPCTRL_TXT_000447,Darkon Wagon 2,Chariot de Darkon 2
PROPCTRL_TXT_000448,Darkon Wagon 3,Chariot de Darkon 3
PROPCTRL_TXT_000449,Darkon Wagon 4,Chariot de Darkon 4
PROPCTRL_TXT_000450,Darkon Wagon 5,Chariot de Darkon 5
PROPCTRL_TXT_000451,Darkon Sign 2,Panneau de Darkon 2
PROPCTRL_TXT_000452,Darkon Sign 3,Panneau de Darkon 3
PROPCTRL_TXT_000453,Darkon Sign 4,Panneau de Darkon 4
PROPCTRL_TXT_000454,Darkon Sign 5,Panneau de Darkon 5
PROPCTRL_TXT_000455,Darkon Sign 6,Panneau de Darkon 6
PROPCTRL_TXT_000456,Darkon Sign 7,Panneau de Darkon 7
PROPCTRL_TXT_000457,Darkon Big Box 2,Boîte Volumineuse de Darkon 2
PROPCTRL_TXT_000458,Darkon Big Box 3,Boîte Volumineuse de Darkon 3
PROPCTRL_TXT_000459,Darkon Big Box 4,Boîte Volumineuse de Darkon 4
PROPCTRL_TXT_000460,Darkon Big Box 5,Boîte Volumineuse de Darkon 5
PROPCTRL_TXT_000461,Darkon Brown Rock 2,Pierre Marron de Darkon 2
PROPCTRL_TXT_000462,Darkon Brown Rock 3,Pierre Marron de Darkon 3
PROPCTRL_TXT_000463,Darkon Brown Rock 4,Pierre Marron de Darkon 4
PROPCTRL_TXT_000464,Darkon Brown Rock 5,Pierre Marron de Darkon 5
PROPCTRL_TXT_000465,Darkon Brown Rock 6,Pierre Marron de Darkon 6
PROPCTRL_TXT_000466,Darkon Brown Rock 7,Pierre Marron de Darkon 7
PROPCTRL_TXT_000467,Darkon Barrel 2,Tonneau de Darkon 2
PROPCTRL_TXT_000468,Darkon Light 2,Lampe de Darkon 2
PROPCTRL_TXT_000469,Darkon Light 3,Lampe de Darkon 3
PROPCTRL_TXT_000470,Darkon Light 4,Lampe de Darkon 4
PROPCTRL_TXT_000471,Darkon Light 5,Lampe de Darkon 5
PROPCTRL_TXT_000472,Darkon Light 6,Lampe de Darkon 6
PROPCTRL_TXT_000473,Darkon Mushroom 2,Champignon de Darkon 2
PROPCTRL_TXT_000474,Darkon Mushroom 3,Champignon de Darkon 3
PROPCTRL_TXT_000475,Darkon Mushroom 4,Champignon de Darkon 4
PROPCTRL_TXT_000476,Darkon Mushroom 5,Champignon de Darkon 5
PROPCTRL_TXT_000477,Darkon Tree 2,Arbre de Darkon 2
PROPCTRL_TXT_000478,Darkon Tree 3,Arbre de Darkon 3
PROPCTRL_TXT_000479,Darkon Tree 4,Arbre de Darkon 4
PROPCTRL_TXT_000480,Darkon Tree 5,Arbre de Darkon 5
PROPCTRL_TXT_000481,Darkon Tree 6,Arbre de Darkon 6
PROPCTRL_TXT_000482,Darkon Tree 7,Arbre de Darkon 7
PROPCTRL_TXT_000483,Darkon Tree 8,Arbre de Darkon 8
PROPCTRL_TXT_000484,Darkon Tree 9,Arbre de Darkon 9
PROPCTRL_TXT_000485,Azria Plant 2,Plante d'Azria 2
PROPCTRL_TXT_000486,Azria Plant 3,Plante d'Azria 3
PROPCTRL_TXT_000487,Azria Plant 4,Plante d'Azria 4
PROPCTRL_TXT_000488,Azria Plant 5,Plante d'Azria 5
PROPCTRL_TXT_000489,Azria Tree 2,Arbre d'Azria 2
PROPCTRL_TXT_000490,Azria Tree 3,Arbre d'Azria 3
PROPCTRL_TXT_000491,Azria Tree 4,Arbre d'Azria 4
PROPCTRL_TXT_000492,Azria Tree 5,Arbre d'Azria 5
PROPCTRL_TXT_000493,Azria Tree 6,Arbre d'Azria 6
PROPCTRL_TXT_000494,Azria Tree 7,Arbre d'Azria 7
PROPCTRL_TXT_000495,Azria Tree 8,Arbre d'Azria 8
PROPCTRL_TXT_000496,Azria Tree 9,Arbre d'Azria 9
PROPCTRL_TXT_000497,Azria Tree 10,Arbre d'Azria 10
PROPCTRL_TXT_000498,Azria Tree 11,Arbre d'Azria 11
PROPCTRL_TXT_000499,Azria Tree 12,Arbre d'Azria 12
PROPCTRL_TXT_000500,Azria Tree 13,Arbre d'Azria 13
PROPCTRL_TXT_000501,Azria Tree 14,Arbre d'Azria 14
PROPCTRL_TXT_000502,Azria Tree 15,Arbre d'Azria 15
PROPCTRL_TXT_000503,Azria Tree 16,Arbre d'Azria 16
PROPCTRL_TXT_000504,Azria Tree 17,Arbre d'Azria 17
PROPCTRL_TXT_000505,Azria Tree 18,Arbre d'Azria 18
PROPCTRL_TXT_000506,Azria Tree 19,Arbre d'Azria 19
PROPCTRL_TXT_000507,Azria Tree 20,Arbre d'Azria 20
PROPCTRL_TXT_000508,Azria Tree 21,Arbre d'Azria 21
PROPCTRL_TXT_000509,Azria Light 2,Lampe d'Azria 2
PROPCTRL_TXT_000510,Azria Light 3,Lampe d'Azria 3
PROPCTRL_TXT_000511,Azria Rock 2,Pierre d'Azria 2
PROPCTRL_TXT_000512,Azria Rock 3,Pierre d'Azria 3
PROPCTRL_TXT_000513,Azria Rock 4,Pierre d'Azria 4
PROPCTRL_TXT_000514,Azria Rock 5,Pierre d'Azria 5
PROPCTRL_TXT_000515,Azria Rock 6,Pierre d'Azria 6
PROPCTRL_TXT_000516,Azria Rock 7,Pierre d'Azria 7
PROPCTRL_TXT_000517,Azria Rock 8,Pierre d'Azria 8
PROPCTRL_TXT_000518,Azria Rock 9,Pierre d'Azria 9
PROPCTRL_TXT_000519,Azria Rock 10,Pierre d'Azria 10
PROPCTRL_TXT_000520,Azria Rock 11,Pierre d'Azria 11
PROPCTRL_TXT_000521,Azria Rock 12,Pierre d'Azria 12
PROPCTRL_TXT_000522,Azria Rock 13,Pierre d'Azria 13
PROPCTRL_TXT_000523,Azria Mushroom 2,Champignon d'Azria 2
PROPCTRL_TXT_000524,Azria Mushroom 3,Champignon d'Azria 3
PROPCTRL_TXT_000525,Azria Mushroom 4,Champignon d'Azria 4
PROPCTRL_TXT_000526,Azria Grass 2,Herbe d'Azria 2
PROPCTRL_TXT_000527,Azria Grass 3,Herbe d'Azria 3
PROPCTRL_TXT_000528,Azria Sign 2,Panneau d'Azria 2
PROPCTRL_TXT_000529,Azria Sign 3,Panneau d'Azria 3
PROPCTRL_TXT_000530,Azria Sign 4,Panneau d'Azria 4
PROPCTRL_TXT_000531,Azria Box 2,Boîte d'Azria 2
PROPCTRL_TXT_000532,Coral Island Tree 2,Arbre de l'Île Corail 2
PROPCTRL_TXT_000533,Coral Island Shellfish 2,Coquillage de l'Île Corail 2
PROPCTRL_TXT_000534,Coral Island Shellfish 3,Coquillage de l'Île Corail 3
PROPCTRL_TXT_000535,Coral Island Shellfish 4,Coquillage de l'Île Corail 4
PROPCTRL_TXT_000536,Coral Island Shellfish 5,Coquillage de l'Île Corail 5
PROPCTRL_TXT_000537,Coral Island Shellfish 6,Coquillage de l'Île Corail 6
PROPCTRL_TXT_000538,Coral Island Shellfish 7,Coquillage de l'Île Corail 7
PROPCTRL_TXT_000539,Coral Island Shellfish 8,Coquillage de l'Île Corail 8
PROPCTRL_TXT_000540,Coral Island Shellfish 9,Coquillage de l'Île Corail 9
PROPCTRL_TXT_000541,Coral Island Coral 2,Corail de l'Île Corail 2
PROPCTRL_TXT_000542,Coral Island Coral 3,Corail de l'Île Corail 3
PROPCTRL_TXT_000543,Coral Island Coral 4,Corail de l'Île Corail 4
PROPCTRL_TXT_000544,Coral Island Coral 5,Corail de l'Île Corail 5
PROPCTRL_TXT_000545,Coral Island Coral 6,Corail de l'Île Corail 6
PROPCTRL_TXT_000546,Coral Island Coral 7,Corail de l'Île Corail 7
PROPCTRL_TXT_000547,Coral Island Coral 8,Corail de l'Île Corail 8
PROPCTRL_TXT_000548,Coral Island Coral 9,Corail de l'Île Corail 9
PROPCTRL_TXT_000549,Coral Island Coral 10,Corail de l'Île Corail 10
PROPCTRL_TXT_000550,Coral Island Coral 11,Corail de l'Île Corail 11
PROPCTRL_TXT_000551,Coral Island Coral 12,Corail de l'Île Corail 12
PROPCTRL_TXT_000552,Coral Island Starfish 2,Étoile de Mer de l'Île Corail 2
PROPCTRL_TXT_000553,Coral Island Starfish 3,Étoile de Mer de l'Île Corail 3
PROPCTRL_TXT_000554,Coral Island Table 2,Table de l'Île Corail 2
PROPCTRL_TXT_000555,Flaris Pot 2,Pot de Flaris 2
PROPCTRL_TXT_000556,Flaris Fence 2,Clôture de Flaris 2
PROPCTRL_TXT_000557,Flaris Fence 3,Clôture de Flaris 3
PROPCTRL_TXT_000558,Flaris Fence 4,Clôture de Flaris 4
PROPCTRL_TXT_000559,Flaris Fence 5,Clôture de Flaris 5
PROPCTRL_TXT_000560,Flaris Fence 6,Clôture de Flaris 6
PROPCTRL_TXT_000561,1st Anniversary Flaris Cake,Gâteau du 1er Anniversaire de Flaris
PROPCTRL_TXT_000562,1st Anniversary Saint Morning Cake,Gâteau du 1er Anniversaire de Saint Morning
PROPCTRL_TXT_000563,1st Anniversary Darkon Cake,Gâteau du 1er Anniversaire de Darkon
PROPCTRL_TXT_000564,2nd Anniversary Flaris Cake,Gâteau du 2ème Anniversaire de Flaris
PROPCTRL_TXT_000565,2nd Anniversary Saint Morning Cake,Gâteau du 2ème Anniversaire de Saint Morning
PROPCTRL_TXT_000566,2nd Anniversary Darkon Cake,Gâteau du 2ème Anniversaire de Darkon
PROPCTRL_TXT_000567,2nd Anniversary Presents 1,Cadeaux du 2ème anniversaire 1
PROPCTRL_TXT_000568,2nd Anniversary Presents 2,Cadeaux du 2ème anniversaire 2
PROPCTRL_TXT_000569,2nd Anniversary Arch 1,Arche du 2ème anniversaire
PROPCTRL_TXT_000570,Luxury Chandelier,Lustre Luxueux
PROPCTRL_TXT_000571,Luxury Table,Table Luxueuse
PROPCTRL_TXT_000572,Luxury Dressing Table,Coiffeuse Luxueuse
PROPCTRL_TXT_000573,Luxury Wardrobe,Armoire Luxueuse
PROPCTRL_TXT_000574,Luxury Bookcase,Bibliothèque Luxueuse
PROPCTRL_TXT_000575,Luxury Sofa,Canapé Luxueux
PROPCTRL_TXT_000576,Luxury Armchair,Fauteuil Luxueux
PROPCTRL_TXT_000577,Luxury Chair,Chaise Luxueuse
PROPCTRL_TXT_000578,Luxury Bed,Lit Luxueux
PROPCTRL_TXT_000579,Ordinary Herb,Herbe Ordinaire
PROPCTRL_TXT_000580,Regular Herb,Herbe Classique
PROPCTRL_TXT_000581,Unique Herb,Herbe Unique
PROPCTRL_TXT_000582,Rare Herb,Herbe Rare
PROPCTRL_TXT_000583,Legendary Herb,Herbe Légendaire
PROPCTRL_TXT_000584,Ordinary Tree,Arbre Ordinaire
PROPCTRL_TXT_000585,Regular Tree,Arbre Classique
PROPCTRL_TXT_000586,Unique Tree,Arbre Unique
PROPCTRL_TXT_000587,Rare Tree,Arbre Rare
PROPCTRL_TXT_000588,Legendary Tree,Arbre Légendaire
PROPCTRL_TXT_000589,Ordinary Ore,Minerai Ordinaire
PROPCTRL_TXT_000590,Regular Ore,Minerai Classique
PROPCTRL_TXT_000591,Unique Ore,Minerai Unique
PROPCTRL_TXT_000592,Rare Ore,Minerai Rare
PROPCTRL_TXT_000593,Legendary Ore,Minerai Légendaire
PROPCTRL_TXT_000594,Alchemy Desk,Bureau d’Alchimie
PROPCTRL_TXT_000595,Hearth,Foyer
PROPCTRL_TXT_000596,Carpentry Workspace,Atelier de Menuiserie
PROPCTRL_TXT_000597,Smithing Workspace,Atelier de Forge
PROPCTRL_TXT_000598,Halloween Pumpkin,Potiron Halloween
PROPCTRL_TXT_000599,Message Sign,Panneau de Message
PROPCTRL_TXT_000600,Medieval Bed,Lit Médiéval
PROPCTRL_TXT_000601,Medieval Sofa,Canapé Médiéval
PROPCTRL_TXT_000602,Medieval Armchair,Fauteuil Médiéval
PROPCTRL_TXT_000603,Medieval Bookcase,Bibliothèque Médiévale
PROPCTRL_TXT_000604,Medieval Wardrobe,Armoire Médiévale
PROPCTRL_TXT_000605,Medieval Table,Table Médiévale
PROPCTRL_TXT_000606,Medieval Chair,Chaise Médiévale
PROPCTRL_TXT_000607,Medieval Floor Lamp,Lampe sur Pied Médiévale
PROPCTRL_TXT_000608,Medieval Drawer,Tiroir Médiéval
PROPCTRL_TXT_000609,Halloween 2024 Bed,Lit Halloween 2024
PROPCTRL_TXT_000610,Halloween 2024 Sofa,Canapé Halloween 2024
PROPCTRL_TXT_000611,Halloween 2024 Armchair,Fauteuil Halloween 2024
PROPCTRL_TXT_000612,Halloween 2024 Bookcase,Bibliothèque Halloween 2024
PROPCTRL_TXT_000613,Halloween 2024 Wardrobe,Armoire Halloween 2024
PROPCTRL_TXT_000614,Halloween 2024 Table,Table Halloween 2024
PROPCTRL_TXT_000615,Halloween 2024 Chair,Chaise Halloween 2024
PROPCTRL_TXT_000616,Halloween 2024 Lantern,Lanterne Halloween 2024
PROPCTRL_TXT_000617,Halloween 2024 Drawer,Tiroir Halloween 2024
PROPCTRL_TXT_000618,Flaris House 1,Maison Flaris 1
PROPCTRL_TXT_000619,Flaris House 2,Maison Flaris 2
PROPCTRL_TXT_000620,Flaris House 3,Maison Flaris 3
PROPCTRL_TXT_000621,Flaris House 4,Maison Flaris 4
PROPCTRL_TXT_000622,Flaris House 5,Maison Flaris 5
PROPCTRL_TXT_000623,Flaris House 6,Maison Flaris 6
PROPCTRL_TXT_000624,Flaris House 7,Maison Flaris 7
PROPCTRL_TXT_000625,Flaris House 8,Maison Flaris 8
PROPCTRL_TXT_000626,Flaris House 9,Maison Flaris 9
PROPCTRL_TXT_000627,Flaris House 10,Maison Flaris 10
PROPCTRL_TXT_000628,Saint Morning House 1,Maison Saint Morning 1
PROPCTRL_TXT_000629,Saint Morning House 2,Maison Saint Morning 2
PROPCTRL_TXT_000630,Saint Morning House 3,Maison Saint Morning 3
PROPCTRL_TXT_000631,Saint Morning House 4,Maison Saint Morning 4
PROPCTRL_TXT_000632,Saint Morning House 5,Maison Saint Morning 5
PROPCTRL_TXT_000633,Saint Morning House 6,Maison Saint Morning 6
PROPCTRL_TXT_000634,Saint Morning House 7,Maison Saint Morning 7
PROPCTRL_TXT_000635,Saint Morning House 8,Maison Saint Morning 8
PROPCTRL_TXT_000636,Saint Morning House 9,Maison Saint Morning 9
PROPCTRL_TXT_000637,Saint Morning House 10,Maison Saint Morning 10
PROPCTRL_TXT_000638,Saint Morning House 11,Maison Saint Morning 11
PROPCTRL_TXT_000639,Pumpkin Town House 1,Maison village Pumpkin 1
PROPCTRL_TXT_000640,Pumpkin Town House 2,Maison village Pumpkin 2
PROPCTRL_TXT_000641,Pumpkin Town House 3,Maison village Pumpkin 3
PROPCTRL_TXT_000642,Darkon House 1,Maison Darkon 1
PROPCTRL_TXT_000643,Darkon House 2,Maison Darkon 2
PROPCTRL_TXT_000644,Darkon House 3,Maison Darkon 3
PROPCTRL_TXT_000645,Darkon House 4,Maison Darkon 4
PROPCTRL_TXT_000646,Darkon House 5,Maison Darkon 5
PROPCTRL_TXT_000647,Azria House 1,Maison Azria 1
PROPCTRL_TXT_000648,Azria House 2,Maison Azria 2
PROPCTRL_TXT_000649,Azria House 3,Maison Azria 3
PROPCTRL_TXT_000650,Azria House 4,Maison Azria 4
PROPCTRL_TXT_000651,Flaris Street Lamp,Lampe de Rue Flaris
PROPCTRL_TXT_000652,Flaris Tent 1,Tente Flaris 1
PROPCTRL_TXT_000653,Madrigal Floating Sign 1,Panneau Flottant Madrigal 1
PROPCTRL_TXT_000654,Madrigal Floating Sign 2,Panneau Flottant Madrigal 2
PROPCTRL_TXT_000655,Madrigal No-fly Sign,Panneau Interdit de Vol Madrigal
PROPCTRL_TXT_000656,Madrigal Floating Ring,Anneau Flottant Madrigal
PROPCTRL_TXT_000657,Flaris Box and cover,Caisse Flaris avec Couverture
PROPCTRL_TXT_000658,Magic Crystal Object,Objet Cristal Magique
PROPCTRL_TXT_000659,Flaris Tent 2,Tente Flaris 2
PROPCTRL_TXT_000662,Flaris Carriage,Calèche Flaris
PROPCTRL_TXT_000663,Flaris Torch,Torche Flaris
PROPCTRL_TXT_000664,Flaris Floating Island,Île Flottante Flaris
PROPCTRL_TXT_000665,Saint Morning Lighthouse,Phare Saint Morning
PROPCTRL_TXT_000666,Saint Morning Crane,Grue Saint Morning
PROPCTRL_TXT_000667,Saint Morning Campfire,Feu de Camp Saint Morning
PROPCTRL_TXT_000668,Saint Morning Palm Tree,Palmiers Saint Morning
PROPCTRL_TXT_000669,Saint Morning Pumpkin Fence,Clôture de Citrouilles Saint Morning
PROPCTRL_TXT_000670,Saint Morning Scarecrow,Épouvantail Saint Morning
PROPCTRL_TXT_000672,Saint Morning Cactus 1,Cactus Saint Morning 1
PROPCTRL_TXT_000673,Saint Morning Cactus 2,Cactus Saint Morning 2
PROPCTRL_TXT_000674,Saint Morning Cactus 3,Cactus Saint Morning 3
PROPCTRL_TXT_000675,Rhisis Stone Pillar 1,Pilier de Pierre Rhisis 1
PROPCTRL_TXT_000676,Rhisis Stone Pillar 2,Pilier de Pierre Rhisis 2
PROPCTRL_TXT_000677,Rhisis Broken Temple,Temple Ruiné Rhisis
PROPCTRL_TXT_000678,Darkon Steel Frame 1,Structure Métallique Darkon 1
PROPCTRL_TXT_000679,Darkon Steel Frame 2,Structure Métallique Darkon 2
PROPCTRL_TXT_000680,Darkon Structure,Structure Darkon
PROPCTRL_TXT_000681,Darkon Water Tank,Réservoir Darkon
PROPCTRL_TXT_000682,Darkon Large crane,Grande Grue Darkon
PROPCTRL_TXT_000683,Darkon Dirt pile,Tas de Terre Darkon
PROPCTRL_TXT_000684,Darkon Shack,Cabane Darkon
PROPCTRL_TXT_000685,Darkon Market,Marché Darkon
PROPCTRL_TXT_000686,Darkon Tree Bark,Écorce Darkon
PROPCTRL_TXT_000687,Darkon Fossil,Fossile Darkon
PROPCTRL_TXT_000688,Darkon Large Fossil,Grand Fossile Darkon
PROPCTRL_TXT_000689,Guardiane Structure,Structure Guardiane
PROPCTRL_TXT_000690,Guardiane Platform,Plateforme Guardiane
PROPCTRL_TXT_000691,Azria Ground Window,Fenêtre Azria au Sol
PROPCTRL_TXT_000692,Azria Large Crane,Grande Grue Azria
PROPCTRL_TXT_000693,Azria Water Tank,Réservoir Azria
PROPCTRL_TXT_000694,Azria Arch,Pont Azria
PROPCTRL_TXT_000695,Azria Stone Pile,Tas de Pierres Azria
PROPCTRL_TXT_000696,Azria Stone Pillar,Pilier de Pierre Azria
PROPCTRL_TXT_000697,Azria Stone Tower,Tour de Pierre Azria
PROPCTRL_TXT_000698,Coral Island Wrecked Ship Part,Partie de Navire Épave Île Coral
PROPCTRL_TXT_000699,Coral Island Wrecked Ship,Navire Épave Île Coral
PROPCTRL_TXT_000700,Coral Island Sea Weed 1,Algue Île Corail 1
PROPCTRL_TXT_000701,Coral Island Sea Weed 2,Algue Île Corail 2
PROPCTRL_TXT_000702,Coral Island Sea Weed 3,Algue Île Corail 3
PROPCTRL_TXT_000703,Coral Island Coral Platform,Plateforme de Corail Île Coral
PROPCTRL_TXT_000704,Coral Island Coral 13,Corail Île Corail 13
PROPCTRL_TXT_000705,Coral Island Coral 14,Corail Île Corail 14
PROPCTRL_TXT_000706,Coral Island Coral 15,Corail Île Corail 15
PROPCTRL_TXT_000707,Coral Island Coral 16,Corail Île Corail 16
PROPCTRL_TXT_000708,Coral Island Campfire,Feu de Camp Île Coral
PROPCTRL_TXT_000709,Saint Morning Wall Pillar,Pilier de Mur Saint Morning
PROPCTRL_TXT_000710,Neon Valentines Black Lamp,Lampe Noire Saint-Valentin Néon
PROPCTRL_TXT_000711,Neon Valentines Black Desk,Bureau Noir Saint-Valentin Néon
PROPCTRL_TXT_000712,Neon Valentines Black Drawer,Tiroir Noir Saint-Valentin Néon
PROPCTRL_TXT_000713,Neon Valentines Black Dresser,Coiffeuse Noire Saint-Valentin Néon
PROPCTRL_TXT_000714,Neon Valentines Black Bookshelf,Étagère Noire Saint-Valentin Néon
PROPCTRL_TXT_000715,Neon Valentines Black Chair,Chaise Noire Saint-Valentin Néon
PROPCTRL_TXT_000716,Neon Valentines Black Bath,Baignoire Noire Saint-Valentin Néon
PROPCTRL_TXT_000717,Neon Valentines Black Bed,Lit Noir Saint-Valentin Néon
PROPCTRL_TXT_000718,Neon Valentines Black Sofa,Canapé Noir Saint-Valentin Néon
PROPCTRL_TXT_000719,Neon Valentines White Lamp,Lampe Blanche Saint-Valentin Néon
PROPCTRL_TXT_000720,Neon Valentines White Desk,Bureau Blanc Saint-Valentin Néon
PROPCTRL_TXT_000721,Neon Valentines White Drawer,Tiroir Blanc Saint-Valentin Néon
PROPCTRL_TXT_000722,Neon Valentines White Dresser,Coiffeuse Blanche Saint-Valentin Néon
PROPCTRL_TXT_000723,Neon Valentines White Bookshelf,Étagère Blanche Saint-Valentin Néon
PROPCTRL_TXT_000724,Neon Valentines White Chair,Chaise Blanche Saint-Valentin Néon
PROPCTRL_TXT_000725,Neon Valentines White Bath,Baignoire Blanche Saint-Valentin Néon
PROPCTRL_TXT_000726,Neon Valentines White Bed,Lit Blanc Saint-Valentin Néon
PROPCTRL_TXT_000727,Neon Valentines White Sofa,Canapé Blanc Saint-Valentin Néon
PROPCTRL_TXT_000728,Pastel Bed,Lit Pastel
PROPCTRL_TXT_000729,Pastel Sofa,Canapé Pastel
PROPCTRL_TXT_000730,Pastel Stool,Tabouret Pastel
PROPCTRL_TXT_000731,Pastel Bookshelf,Étagère Pastel
PROPCTRL_TXT_000732,Pastel Lamp,Lampe Pastel
PROPCTRL_TXT_000733,Pastel Desk,Bureau Pastel
PROPCTRL_TXT_000734,Pastel Chair,Chaise Pastel
PROPCTRL_TXT_000735,Pastel Nightstand,Table de Nuit Pastel
PROPCTRL_TXT_000736,Pastel Bathtub,Baignoire Pastel
PROPCTRL_TXT_000737,[Event] Chroma Ore,[Événement] Minerai Chroma
PROPCTRL_TXT_000738,Statue Base,Socle de Statue
PROPCTRL_TXT_000739,3rd Anniversary Flaris Cake,Gâteau Flaris 3ᵉ Anniversaire
PROPCTRL_TXT_000740,3rd Anniversary Saint Morning Cake,Gâteau Saint Morning 3ᵉ Anniversaire
PROPCTRL_TXT_000741,3rd Anniversary Darkon Cake,Gâteau Darkon 3ᵉ Anniversaire
PROPCTRL_TXT_000742,Dungeon Warp 07,Portail Donjon 07
