Key,English,Finnish
UI_GUILDCOMBAT_OFFER_CURRENTAPPLICATION,Current Application Fee,Current Application Fee
UI_GUILDCOMBAT_OFFER_CURRENTAPPLICATION_TIP,Select a blank space and input the application fee,Select a blank space and input the application fee
UI_GUILDCOMBAT_OFFER_PRIZEDETAIL,Prize Details,Prize Details
UI_GUILDCOMBAT_OFFER_PRESENT,1 Win: Dragon Cloak of the Initiate\n2 Wins Straight: Dragon Cloak of the Adept\n3 Wins Straight: Dragon Cloak of the Master\n4 Wins Straight: Dragon Cloak of the Hero,1 Win: Dragon Cloak of the Initiate\n2 Wins Straight: Dragon Cloak of the Adept\n3 Wins Straight: Dragon Cloak of the Master\n4 Wins Straight: Dragon Cloak of the Hero
UI_GUILDCOMBAT_OFFER_CONFIRM,You have paid %d penya. Do you want to pay additional %d penya?,You have paid %d penya. Do you want to pay additional %d penya?
UI_GUILDCOMBAT_OFFER_ACCEPT_TIP,Apply for Guild Siege.,Apply for Guild Siege.
UI_GUILDCOMBAT_OFFER_PRESENT_TIP,"For prize details, please ask the Guild Manager, Donaris.","For prize details, please ask the Guild Manager, Donaris."
UI_GUILDCOMBAT_STATE_TITLE,Present Guild Siege Application Requirements,Present Guild Siege Application Requirements
UI_GUILDCOMBAT_STATE_TIMELEFT,Time Left,Time Left
UI_GUILDCOMBAT_STATE_TIMELEFT_TIP,Time left until next Guild Siege,Time left until next Guild Siege
UI_GUILDCOMBAT_STATE_TOTALBID,Total Bid:,Total Bid:
UI_GUILDCOMBAT_STATE_TOTALBID_TIP,"From the combined bids paid by the 10 highest paying Guilds, 35% is paid to the winning Guild.","From the combined bids paid by the 10 highest paying Guilds, 35% is paid to the winning Guild."
UI_GUILDCOMBAT_STATE_BIDRANKING,Bid Ranking,Bid Ranking
UI_GUILDCOMBAT_STATE_BIDRANKING_TIP,Your Guild cannot join a Guild Siege if your Guild Bid is ranked below 10th place. Please try again.,Your Guild cannot join a Guild Siege if your Guild Bid is ranked below 10th place. Please try again.
UI_GUILDCOMBAT_STATE_CURRENTMINIMUM,Current Minimum Bid,Current Minimum Bid
UI_GUILDCOMBAT_STATE_CURRENTMINIMUM_TIP,Current Guild Bid:,Current Guild Bid:
UI_GUILDCOMBAT_STATE_APPLY,Apply,Apply
UI_GUILDCOMBAT_STATE_APPLY_TIP,Show Guild Siege Application Menu.,Show Guild Siege Application Menu.
UI_GUILDCOMBAT_STATE_REFRESH,Refresh,Refresh
UI_GUILDCOMBAT_STATE_REFRESH_TIP,Review present Guild Siege Application Requirements.,Review present Guild Siege Application Requirements.
UI_GUILDCOMBAT_STATE_LIST_TIP,The 10 Guilds that bid the highest amount of penya can join the Guild Siege.,The 10 Guilds that bid the highest amount of penya can join the Guild Siege.
UI_GUILDCOMBAT_CANCEL_TITLE,Guild Siege - Cancel Application,Guild Siege - Cancel Application
UI_GUILDCOMBAT_CANCEL_MSG,Do you want to withdraw from the Guild Siege?,Do you want to withdraw from the Guild Siege?
UI_GUILDCOMBAT_SELECT_TITLE,Set Entry List for Guild Siege,Set Entry List for Guild Siege
UI_GUILDCOMBAT_SELECT_CONNECTED,Connected Guild Members,Connected Guild Members
UI_GUILDCOMBAT_SELECT_ENTRANT,Entrant List,Entrant List
UI_GUILDCOMBAT_SELECT_RIGHT_TIP,Add a connected Guild Member to the entrant list.,Add a connected Guild Member to the entrant list.
UI_GUILDCOMBAT_SELECT_LEFT_TIP,Delete a Guild Member from the entrant list.,Delete a Guild Member from the entrant list.
UI_GUILDCOMBAT_SELECT_UP_TIP,Arrange the selected Guild member to the upper side.,Arrange the selected Guild member to the upper side.
UI_GUILDCOMBAT_SELECT_DOWN_TIP,Arrange the selected Guild member to the lower side.,Arrange the selected Guild member to the lower side.
UI_GUILDCOMBAT_SELECT_COMPLETE,Complete,Complete
UI_GUILDCOMBAT_SELECT_COMPLETE_TIP,Complete the entry list.,Complete the entry list.
UI_GUILDCOMBAT_SELECT_DEFENDER,Defender,Defender
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP,Selecting the defender,Selecting the defender
UI_GUILDCOMBAT_SELECT_REMAKE,Remake,Remake
UI_GUILDCOMBAT_SELECT_REMAKE_TIP,Remake the entry list.,Remake the entry list.
UI_GUILDCOMBAT_SELECT_DEFENDER_TIP2,Opponents will get bonus point when your Guild Defender is killed.,Opponents will get bonus point when your Guild Defender is killed.
UI_GUILDCOMBAT_SELECT_INFO,Register your team. Starting %d members (Maximum %d),Register your team. Starting %d members (Maximum %d)
UI_GUILDCOMBAT_SELECT_ENTRANT_TIP,5 selected members will join the Guild Siege first. Please make an entrant list.,5 selected members will join the Guild Siege first. Please make an entrant list.
UI_GUILDCOMBAT_SELECT_REMAKE_MAKEUP,Would like to organize line up for guild siege again?,Would like to organize line up for guild siege again?
UI_GUILDCOMBAT_TELE_TITLE,Guild Siege Introduction,Guild Siege Introduction
UI_GUILDCOMBAT_TELE_MSG,Entrance has started. Would you like to teleport to the Guild Siege arena?,Entrance has started. Would you like to teleport to the Guild Siege arena?
UI_GUILDCOMBAT_JOIN_TITLE,Entering Guild Siege Arena,Entering Guild Siege Arena
UI_GUILDCOMBAT_JOIN_MSG,Do you join the Guild Siege?,Do you join the Guild Siege?
UI_NETWORK_ERROR_TITLE,Network Error,Network Error
UI_NETWORK_ERROR_MSG,"A network error happened, please check your connection and login again.","A network error happened, please check your connection and login again."
UI_GUILDCOMBAT_JOINWAR_TITLE,Resurrection Location,Resurrection Location
UI_GUILDCOMBAT_JOINWAR_1_TIP,You have entered the 1st zone.,You have entered the 1st zone.
UI_GUILDCOMBAT_JOINWAR_2_TIP,You have entered the 2nd zone.,You have entered the 2nd zone.
UI_GUILDCOMBAT_JOINWAR_3_TIP,You have entered the 3rd zone.,You have entered the 3rd zone.
UI_GUILDCOMBAT_JOINWAR_4_TIP,You have entered the 4th zone.,You have entered the 4th zone.
UI_GUILDCOMBAT_JOINWAR_5_TIP,You have entered the 5th zone.,You have entered the 5th zone.
UI_GUILDCOMBAT_JOINWAR_6_TIP,You have entered the 6th zone.,You have entered the 6th zone.
UI_GUILDCOMBAT_JOINWAR_7_TIP,You have entered the 7th zone.,You have entered the 7th zone.
UI_GUILDCOMBAT_JOINWAR_8_TIP,You have entered the 8th zone.,You have entered the 8th zone.
UI_GUILDCOMBAT_JOINWAR_SELECT,Select the zone you wish to enter.,Select the zone you wish to enter.
UI_GUILDCOMBAT_JOINWAR_MSG,"In %d seconds, you will enter zone %s.","In %d seconds, you will enter zone %s."
UI_GUILDCOMBAT_JOINWAR_RANDOM,Random,Random
UI_CHAT_ADMIN,[Admin] %s,[Admin] %s
UI_GUILDCOMBAT_RATE,Current rank:,Current rank:
UI_GUILDCOMBAT_PERSON_RATE,Individual rank:,Individual rank:
UI_TOOLTIP_EXPBOX,#b%s's exp box#nb\nThe time left: %s,#b%s's exp box#nb\nThe time left: %s
UI_GUILDCOMBAT_JOIN_READY,Gain entrance when one of your guild mates dies.,Gain entrance when one of your guild mates dies.
UI_GUILDCOMBAT_JOIN_READY2,Be ready!,Be ready!
UI_GUILDCOMBAT_LOG_REALTIME,[%s]%s [%s] has killed [%s]%s [%s] and has gained %d points.,[%s]%s [%s] has killed [%s]%s [%s] and has gained %d points.
UI_GUILDCOMBAT_LOG_MASTER,Guild Master,Guild Master
UI_GUILDCOMBAT_LOG_DEFENDER,Defender,Defender
UI_GUILDCOMBAT_RESULT_TITLE,Guild & Member Ranking,Guild & Member Ranking
UI_GUILDCOMBAT_RESULT_GUILD,Guild Ranking,Guild Ranking
UI_GUILDCOMBAT_RESULT_MEMBER,Member Ranking,Member Ranking
UI_GUILDCOMBAT_RESULT_RANK,United Rank,United Rank
UI_GUILDCOMBAT_RESULT_LOG,Battle Log,Battle Log
UI_GUILDCOMBAT_LOG_GUILD,[%s],[%s]
UI_GUILDCOMBAT_LOG1,Basic Point +2,Basic Point +2
UI_GUILDCOMBAT_LOG2,Guild Master Bonus +1,Guild Master Bonus +1
UI_GUILDCOMBAT_LOG3,Defender Bonus +1,Defender Bonus +1
UI_GUILDCOMBAT_LOG4,Kill bonus +1,Kill bonus +1
UI_GUILDCOMBAT_LOG5,Resurrecting Bonus +1,Resurrecting Bonus +1
UI_GUILDCOMBAT_LOG6,Killing streak Bonus +%d,Killing streak Bonus +%d
UI_GUILDCOMBAT_LOG_POINT,(%d grade),(%d grade)
UI_GUILDCOMBAT_LOG_ATTACK,Attack,Hyökkäys
UI_GUILDBANK_GUILDCOMBAT_CLOAK_TIP,Creating Dragon Cloak (The condition: For the guild which wins the guild war).,Creating Dragon Cloak (The condition: For the guild which wins the guild war).
UI_GUILDBANK_GUILDCOMBAT_CREATE_CLOAK,"It takes 10,000 penya to create a Dragon Cloak. Would you like to create it?","It takes 10,000 penya to create a Dragon Cloak. Would you like to create it?"
UI_GUILDCOMBAT_RANKING_TITLE,Guild Member Ranking,Guild Member Ranking
UI_GUILDCOMBAT_RANKING_RANK,Rank,Rank
UI_GUILDCOMBAT_RANKING_POINT,Grade,Grade
UI_WORLD_DEVICEMOTION_TIP,Motion,Liike
UI_WORLD_TURBO_TIP,Fuel,Fuel
UI_NAVIGATOR_SHIP,Ship,Ship
UI_OPTION_TOON_STYLE,Outline,Outline
UI_OPTION_RIM_OUTLINE,Rim Outlines,Rim Outlines
UI_APP_WIKI_TIP,Get help from Wiki,Get help from Wiki
UI_ROSHAMBO_OPEN_CONFIRM,I challenge you to a game of Rock-Paper-Scissors!,I challenge you to a game of Rock-Paper-Scissors!
UI_ROSHAMBO_TITLE,Rock-Paper-Scissors,Rock-Paper-Scissors
UI_ROSHAMBO_VS,VS,VS
UI_ROSHAMBO_SCISSOR,Scissors,Scissors
UI_ROSHAMBO_ROCK,Rock,Rock
UI_ROSHAMBO_PAPER,Paper,Paper
UI_ROSHAMBO_WINNINGCOUNT,%d win(s),%d win(s)
UI_ROSHAMBO_DEFEAT,You Lose!,You Lose!
UI_ROSHAMBO_WIN_TITLE,You Win!,You Win!
UI_ROSHAMBO_WIN_END,End,End
UI_ROSHAMBO_WIN_NEXT,Next,Next
UI_ROSHAMBO_WIN_MSG,Press END if you want to claim your current prize and stop playing or press NEXT to continue playing for more prizes -,Press END if you want to claim your current prize and stop playing or press NEXT to continue playing for more prizes -
UI_ROSHAMBO_WIN_MSG2,Please Note: You will not receive your current prize if you choose to continue playing.,Please Note: You will not receive your current prize if you choose to continue playing.
UI_ROSHAMBO_WIN_MSG3,"Congratulations, you won %d time(s)! You receive %s x%d.","Congratulations, you won %d time(s)! You receive %s x%d."
UI_EXCHANGE_COUNT_TITLE,Input item quantity,Input item quantity
UI_EXCHANGE_COUNT_MSG,How many?,How many?
UI_EXCHANGE_COUNT_LABEL,Number:,Number:
UI_TOOLTIP_PET_REAR,[Raised Pet],[Raised Pet]
UI_TOOLTIP_PET_PICKUP,[Pick-Up Pet],[Pick-Up Pet]
UI_PET_GRADE_0,Egg,Egg
UI_PET_GRADE_1,F Tier,F Tier
UI_PET_GRADE_2,E Tier,E Tier
UI_PET_GRADE_3,D Tier,D Tier
UI_PET_GRADE_4,C Tier,C Tier
UI_PET_GRADE_5,B Tier,B Tier
UI_PET_GRADE_6,A Tier,A Tier
UI_PET_GRADE_7,S Tier,S Tier
UI_PET_EXP_MAX,Exp: 99.99%,Exp: 99.99%
UI_PET_EXP,Exp: %.2f%%,Exp: %.2f%%
UI_TOOLTIP_ABILITY,Bonus,Bonus
UI_PET_HP,Energy: %d / %d,Energy: %d / %d
UI_PET_LEVEL,Lv%d,Lv%d
UI_PET_DEAD,(DEAD),(DEAD)
UI_PET_REROLL_TIER,Scroll-rerolled tier:,Scroll-rerolled tier:
UI_TARGET_CLEAR,Clear the target,Clear the target
UI_OPTION_TAB_UI,Interface,Interface
UI_OPTION_AUTO_ATTACK,Auto Attack,Auto Attack
UI_OPTION_FIXED_CAMERA,Fixed Camera,Fixed Camera
UI_OPTION_OTHER_DAMAGES,Display all damage,Display all damage
UI_OPTION_HIDE_OTHER_PLAYERS,Hide other Players,Hide other Players
UI_OPTION_TRANSPARENT_CHAT,Transparent chat,Transparent chat
UI_OPTION_RIGHT_CLICK_MENU,Right Click Player Menu,Right Click Player Menu
UI_OPTION_TOP_PLAYER_GAUGES,MP & FP Gauges,MP & FP Gauges
UI_OPTION_TOP_PLAYER_GAUGES_TIP,Enables FP & MP gauges above the player.,Enables FP & MP gauges above the player.
UI_OPTION_SELECT_PETS,Select Pets,Select Pets
UI_FACE_SHOP_TITLE,Plastic Surgery,Plastic Surgery
UI_FACE_SHOP_BASE_FACE,Friendly Face,Friendly Face
UI_FACE_SHOP_NEW_FACE,New Face,New Face
UI_TOOLTIP_SPELL_RANGE,Spell Range: %d,Spell Range: %d
UI_TOOLTIP_COMBO_TYPE,Combo: %s,Combo: %s
UI_TOOLTIP_COMBO_STEP,Step,Step
UI_TOOLTIP_COMBO_CIRCLE,Circle,Circle
UI_TOOLTIP_COMBO_FINISH,Finish,Finish
UI_TOOLTIP_BASE_DAMAGE,Base Damage: %d ~ %d,Base Damage: %d ~ %d
UI_TOOLTIP_SCALE_ATTACK,Attack Scaling,Attack Scaling
UI_TOOLTIP_SCALE_HEAL,Heal Scaling,Heal Scaling
UI_TOOLTIP_SCALE_TIME,Time Scaling,Time Scaling
UI_TOOLTIP_SCALE_CHARGE,Dec. Charging Time Scaling,Dec. Charging Time Scaling
UI_TOOLTIP_SCALE_PARAM,Scaling,Scaling
UI_TOOLTIP_SCALE_PARAM_PER,per,per
UI_TOOLTIP_SCALE_PARAM_MAX,max,max
UI_TOOLTIP_PVP,PVP,PVP
UI_TOOLTIP_PVE,PVE,PVE
UI_TOOLTIP_AROUND,Around,Around
UI_TOOLTIP_BASE_HEAL,Base Heal: %d,Base Heal: %d
UI_TOOLTIP_BASE_HEAL_MP,Base MP Heal: %d,Base MP Heal: %d
UI_TOOLTIP_BASE_HEAL_FP,Base FP Heal: %d,Base FP Heal: %d
UI_TOOLTIP_BASE_TIME,Base Time: %.2d:%.2d.%.3d,Base Time: %.2d:%.2d.%.3d
UI_TOOLTIP_BASE_TIME_PVP,/ %.2d:%.2d (PVP & Giants),/ %.2d:%.2d (PVP & Giants)
UI_TOOLTIP_PROBABILITY,Probability: %d%%,Probability: %d%%
UI_TOOLTIP_PROBABILITY_PVP,/ %d%% (PVP & Giants),/ %d%% (PVP & Giants)
UI_TOOLTIP_PROBABILITY_FLYBACK,Knockdown Probability: %d%%,Knockdown Probability: %d%%
UI_TOOLTIP_COOLDOWN,Cooldown: %.2d:%.2d,Cooldown: %.2d:%.2d
UI_TOOLTIP_COOLDOWN_PVP,/ %.2d:%.2d (PVP),/ %.2d:%.2d (PVP)
UI_TOOLTIP_COOLDOWN_ONLY_PVP,Cooldown: %.2d:%.2d (PVP),Cooldown: %.2d:%.2d (PVP)
UI_TOOLTIP_COOLDOWN_ONEND,(After Expiry),(After Expiry)
UI_TOOLTIP_CASTING,Casting Time: %.2d:%.2d,Casting Time: %.2d:%.2d
UI_TOOLTIP_CHARGING,Charging Time: %.2d:%.2d,Charging Time: %.2d:%.2d
UI_NEWCHAR_FACE,Face,Face
UI_NEWCHAR_HAIR,Hair,Hair
UI_NEWCHAR_HAIR_COLOR,Hair Color,Hair Color
UI_WORLD_ZOOM_LEVEL,%dX Zoom. Press the Scroll Lock Key to toggle.,%dX Zoom. Press the Scroll Lock Key to toggle.
UI_KEYBIND_CHAR_CONTROL,Movement Keys,Movement Keys
UI_KEYBIND_MOVE_FORWARD,Move Forward,Move Forward
UI_KEYBIND_MOVE_BACKWARD,Move Backward,Move Backward
UI_KEYBIND_TURN_LEFT,Turn Left,Turn Left
UI_KEYBIND_TURN_RIGHT,Turn Right,Turn Right
UI_KEYBIND_JUMP,Jump,Hyppy
UI_KEYBIND_WALK,Toggle Run/Walk,Toggle Run/Walk
UI_KEYBIND_SKILL_COMBO,Action Slot,Action Slot
UI_KEYBIND_CLEAR_TARGET,Clear Target,Clear Target
UI_KEYBIND_TRACE_TARGET,Follow Target,Follow Target
UI_KEYBIND_SELECT_TARGET,Select PVP Target,Select PVP Target
UI_KEYBIND_APPLETS,Windows,Windows
UI_KEYBIND_CAMERA,Camera Control,Camera Control
UI_KEYBIND_CAMERA_LEFT,Rotate Left,Rotate Left
UI_KEYBIND_CAMERA_RIGHT,Rotate Right,Rotate Right
UI_KEYBIND_CAMERA_UP,Rotate Up,Rotate Up
UI_KEYBIND_CAMERA_DOWN,Rotate Down,Rotate Down
UI_KEYBIND_ZOOM_IN,Zoom In,Zoom In
UI_KEYBIND_ZOOM_OUT,Zoom Out,Zoom Out
UI_KEYBIND_ZOOM_LEVEL,Toggle Zoom,Toggle Zoom
UI_KEYBIND_TASKBAR,Taskbar Functions,Taskbar Functions
UI_KEYBIND_TASKBAR_N,Taskbar %d,Taskbar %d
UI_KEYBIND_TASKBAR_SLOT,Taskbar Slot %d,Taskbar Slot %d
UI_KEYBIND_TASKBAR2_SLOT,2nd Bar Slot %d,2nd Bar Slot %d
UI_KEYBIND_TASKBAR3_SLOT,3rd Bar Slot %d,3rd Bar Slot %d
UI_KEYBIND_TASKBAR2,Additional Taskbars,Additional Taskbars
UI_KEYBIND_FULLSCREEN,Toggle Fullscreen,Toggle Fullscreen
UI_KEYBIND_MAIN_MENU,Main Menu,Main Menu
UI_KEYBIND_TOGGLE_UI,Hide/Show UI,Hide/Show UI
UI_KEYBIND_TOGGLE_SCREENSHOT,Screenshot Mode,Screenshot Mode
UI_KEYBIND_GAME,Game Functions,Game Functions
UI_KEYBIND_NONE,Not Bound,Not Bound
UI_KEYBIND_UNBIND,Unbind the key,Unbind the key
UI_KEYBIND_TITLE,Keys,Keys
UI_KEYBIND_RESET,Reset,Reset
UI_UPGRADECARD_TITLE,Socket Card Upgrade,Socket Card Upgrade
UI_UPGRADECARD_REGISTER,Register material card.,Register material card.
UI_UPGRADECARD_INFO,Fuse 10 material cards to receive 1 higher-grade card.,Fuse 10 material cards to receive 1 higher-grade card.
UI_RESHUFFLECARD_TITLE,Weapon Socket Card Reshuffle,Weapon Socket Card Reshuffle
UI_RESHUFFLECARD_REGISTER,Register weapon material card.,Register weapon material card.
UI_RESHUFFLECARD_INFO,Fuse 3 weapon material cards to receive 1 same grade card.,Fuse 3 weapon material cards to receive 1 same grade card.
UI_RESHUFFLECARD_CONFIRM,"If you reshuffle the cards, the cards used as materials disappear.\nDo you want to continue?","If you reshuffle the cards, the cards used as materials disappear.\nDo you want to continue?"
UI_CONVERTSOULLINK_TITLE,Convert soul link,Convert soul link
UI_CONVERTSOULLINK_INFO,You can convert the item a soul-linked type.,You can convert the item a soul-linked type.
UI_CONVERTSOULLINK_CONFIRM,The converted item cannot be returned.\nDo you want to continue?,The converted item cannot be returned.\nDo you want to continue?
UI_CONVERTSOULLINK_NOTAVAILABLE,This item cannot be converted.,This item cannot be converted.
UI_GUILD_SCROLLGADD_CONFIRM,The scroll will permanently increase the amount of members you can have in a guild by 5. If you join another guild it will have no effect on the new guild. Do you confirm the use?,The scroll will permanently increase the amount of members you can have in a guild by 5. If you join another guild it will have no effect on the new guild. Do you confirm the use?
UI_GUILD_TOOLTIP_EXP,Exp:,Exp:
UI_GUILD_TOOLTIP_GOLD,Penya:,Penya:
UI_GUILD_TOOLTIP_LEVEL,#bNext level %d#nb,#bNext level %d#nb
UI_CHANGECHANNEL_TITLE,Change Channel,Change Channel
UI_CHANGECHANNEL_MSG,Select channel:,Select channel:
UI_REPORT_TITLE,Report,Report
UI_REPORT_PLAYER_LABEL,Player,Player
UI_REPORT_REASON_LABEL,Reason,Reason
UI_REPORT_MESSAGE_LABEL,Message,Viesti
UI_REPORT_SEND,Send,Send
UI_REPORT_REASON0,Botting,Botting
UI_REPORT_REASON1,Real money transfer,Real money transfer
UI_REPORT_REASON2,Cheating / hacking,Cheating / hacking
UI_REPORT_REASON3,Bad behavior,Bad behavior
UI_REPORT_REASON4,Insults,Insults
UI_REPORT_CONFIRM,Are you sure you want to report %s?\n\nAbuse of this feature may result in your account being banned.,Are you sure you want to report %s?\n\nAbuse of this feature may result in your account being banned.
UI_APP_ACHIEVEMENTS_TIP,Displays the Achievements Menu.,Displays the Achievements Menu.
UI_ACHIEVEMENTS_TITLE,Achievements,Achievements
UI_ACHIEVEMENTS_GENERAL_TAB,General,General
UI_ACHIEVEMENTS_MONSTERS_TAB,Monsters,Monsters
UI_ACHIEVEMENTS_CONSUMABLES_TAB,Consumables,Consumables
UI_ACHIEVEMENTS_TITLES_TAB,Titles & Badges,Titles & Badges
UI_ACHIEVEMENTS_EVENTS_TAB,Events,Events
UI_ACHIEVEMENTS_PLAYTIME_TAB,Play time,Play time
UI_ACHIEVEMENTS_CONNECTION_SERIES_TAB,Login Streak,Login Streak
UI_ACHIEVEMENTS_TOTAL_CONNECTION_TAB,Login Rewards,Login Rewards
UI_ACHIEVEMENTS_DESCRIPTION,Description,Description
UI_ACHIEVEMENTS_DESCRIPTION_BINDS,This achievement is bound to your account.,This achievement is bound to your account.
UI_ACHIEVEMENTS_DESCRIPTION_TARGETMONSTERS,Monster(s) to kill: %s.,Monster(s) to kill: %s.
UI_ACHIEVEMENTS_DESCRIPTION_TARGETITEMS,Item(s) to use: %s.,Item(s) to use: %s.
UI_ACHIEVEMENTS_REWARD,Reward List,Reward List
UI_ACHIEVEMENTS_REWARD_TITLE,Title: #b%s#nb,Title: #b%s#nb
UI_ACHIEVEMENTS_REWARD_LEVEL,Level %d,Level %d
UI_ACHIEVEMENTS_REWARD_CLAIMED,Claimed,Claimed
UI_ACHIEVEMENTS_REWARD_GOLD,Penya:,Penya:
UI_ACHIEVEMENTS_REWARD_ITEM,Item(s): %s,Item(s): %s
UI_ACHIEVEMENTS_REWARD_ATK,Attack rate on target(s): %d%%,Attack rate on target(s): %d%%
UI_ACHIEVEMENTS_PROGRESSION,Progression,Progression
UI_ACHIEVEMENTS_CARD_LEVEL,Level %d,Level %d
UI_ACHIEVEMENTS_CARD_BONUS,Attack +%s%%,Attack +%s%%
UI_ACHIEVEMENTS_NOTITLE,No Title,No Title
UI_ACHIEVEMENTS_NOTITLE_DESCRIPTION,Do not show any title.,Do not show any title.
UI_ACHIEVEMENTS_PVPTITLE,PVP Title,PVP Title
UI_ACHIEVEMENTS_PVPTITLE_CURRENT,"(Currently ""%s"")","(Currently ""%s"")"
UI_ACHIEVEMENTS_PVPTITLE_DESCRIPTION,Show your current PVP title.,Show your current PVP title.
UI_ACHIEVEMENTS_TITLES_SELECT,Select,Select
UI_ACHIEVEMENTS_TITLES_FROM,From,From
UI_ACHIEVEMENTS_CLAIMBTN,Claim,Claim
UI_ACHIEVEMENTS_CLAIMTIP,Receive your rewards!,Receive your rewards!
UI_ACHIEVEMENTS_CLAIMTIP_RAND,Spin the wheel! Will you be lucky today?,Spin the wheel! Will you be lucky today?
UI_ACHIEVEMENTS_AVAILABLE,Available,Available
UI_ACHIEVEMENTS_COMPLETED,This achievement has been completed!,This achievement has been completed!
UI_TOOLTIP_PARTY_LEVEL,Required Party Level: %d,Required Party Level: %d
UI_TOOLTIP_PARTY_POINTS,Required Points: %d,Required Points: %d
UI_PARTY_PERMANENT_CONFIRM,Members of your party will no longer be ejected automatically when they are offline. If you create or join another party it will have no effect on the new party. Do you confirm the use?,Members of your party will no longer be ejected automatically when they are offline. If you create or join another party it will have no effect on the new party. Do you confirm the use?
UI_PARTY_PERMANENT,Permanent Party,Permanent Party
UI_SEARCHPARTY_TITLE,Search Party,Search Party
UI_SEARCHGUILD_TITLE,Search Guild,Search Guild
UI_GROUPSEARCH,Search,Search
UI_TOOLTIP_TRANSMUTE,Transmutation:,Transmutation:
UI_TOOLTIP_RARITY,Rarity:,Rarity:
UI_TOOLTIP_RARITY_NORMAL,Common,Common
UI_TOOLTIP_RARITY_RARE,Uncommon,Uncommon
UI_TOOLTIP_RARITY_STRONG,Rare,Rare
UI_TOOLTIP_RARITY_UNIQUE,Unique,Unique
UI_TOOLTIP_RARITY_VERYRARE,Very Rare,Very Rare
UI_TOOLTIP_RARITY_ULTIMATE,Ultimate,Ultimate
UI_WORLD_CASTING,Casting,Casting
UI_WORLD_HARVESTING,Harvesting,Harvesting
UI_WORLD_OPENING,Opening,Opening
UI_WORLD_CHARGING,Charging,Charging
UI_NAVIGATOR_LOCALTIME,Local Time,Local Time
UI_NAVIGATOR_SERVERTIME,Server Time,Server Time
UI_NAVIGATOR_MADRIGALTIME,Madrigal Time,Madrigal Time
UI_UPGRADESAFE_STOP,Stop,Stop
UI_UPGRADESAFE_RESET,Reset,Reset
UI_UPGRADESAFE_MATERIAL_NORMAL,Power Dice,Power Dice
UI_UPGRADESAFE_MATERIAL_ULTIMATE,Sun Stone,Sun Stone
UI_UPGRADESAFE_MATERIAL_ELEMENT,Card,Card
UI_UPGRADESAFE_COST,#b%s#nb per attempt,#b%s#nb per attempt
UI_UPGRADESAFE_TARGET_PIERCING,Piercing Goal,Piercing Goal
UI_UPGRADESAFE_TARGET,Upgrade Goal,Upgrade Goal
UI_UPGRADESAFE_CURRENT_PIERCING,~Piercings~,~Piercings~
UI_UPGRADESAFE_CURRENT,~Current Value~,~Current Value~
UI_SEARCHGROUP_MODE_NO,Not findable,Not findable
UI_SEARCHGROUP_MODE_CONFIRM,Leader approval,Leader approval
UI_SEARCHGROUP_MODE_FREE,Join freely,Join freely
UI_GROUPSEARCH_REFRESH,Refresh,Refresh
UI_GROUPSEARCH_FILTER,Filter:,Filter:
UI_GROUPSEARCH_SORT,Sort:,Sort:
UI_GROUPSEARCH_PARTYNAME,Party Name,Party Name
UI_GROUPSEARCH_GUILDNAME,Guild Name,Guild Name
UI_GROUPSEARCH_LEADER,Leader,Leader
UI_GROUPSEARCH_MASTER,Master,Mestari
UI_GROUPSEARCH_LEVEL,Level,Level
UI_GROUPSEARCH_MEMBERS,Members,Members
UI_GROUPSEARCH_BUFFS,Buffs,Buffs
UI_GROUPSEARCH_LEADERLEVEL,Leader Level,Leader Level
UI_GROUPSEARCH_LEADERNAME,Leader Name,Leader Name
UI_GROUPSEARCH_MASTERLEVEL,Master Level,Master Level
UI_GROUPSEARCH_MASTERNAME,Master Name,Master Name
UI_GROUPSEARCH_ALL,All,All
UI_GROUPSEARCH_FRIENDS,Friend Leaders,Friend Leaders
UI_GROUPSEARCH_STRANGERS,Stranger Leaders,Stranger Leaders
UI_GROUPSEARCH_MASTERFRIENDS,Friend Masters,Friend Masters
UI_GROUPSEARCH_MASTERSTRANGERS,Stranger Masters,Stranger Masters
UI_GROUPSEARCH_JOIN,Join,Join
UI_GROUPSEARCH_LEADERAPPROVAL,Your request must be approved by the Leader,Your request must be approved by the Leader
UI_GROUPSEARCH_MASTERAPPROVAL,Your request must be approved by the Master,Your request must be approved by the Master
UI_PARTY_JOINQUESTION,%s wants to join your party. Do you accept?,%s wants to join your party. Do you accept?
UI_GUILD_SEARCHNOTICE,Search Notice,Search Notice
UI_GUILD_SEARCHNOTICE_TIP,Setup the notice in Guild Search.,Setup the notice in Guild Search.
UI_DAMAGEMETER_RESET,Reset Damage Statistics,Reset Damage Statistics
UI_DAMAGEMETER_TITLE,Damage Stats %d/%d,Damage Stats %d/%d
UI_TOOLTIP_SKILL_NOFLY,Flying: No,Flying: No
UI_DAMAGEMETER_TOGGLE,Show/hide Damage Statistics,Show/hide Damage Statistics
UI_SHOP_QUICK_SELL,Quick Sell,Quick Sell
UI_SHOP_QUICK_SELL_TIP,Quickly sell a category of items.,Quickly sell a category of items.
UI_SHOP_BUY_BACK,Buy Back,Buy Back
UI_SHOP_BUY_BACK_TIP,Purchase back items that you recently sold by mistake.,Purchase back items that you recently sold by mistake.
UI_SHOP_QUICK_SELL_CONFIRM,Sell,Sell
